Description,Category
"Drainage overflow at Colony, foul smell everywhere.",Municipal
Plot boundaries changed illegally near Market.,Development Authority
Chain snatching reported yesterday near Park.,Police
frequent delays in public buses @ hospital.,Transport
Drainage blocked near School causing flooding.,Public Works Department
Cement road at Bus Stand cracked within a week of repair.,Public Works Department
"Burglary reported at Hospital, no investigation done.",Police
Illegal hoardings at Temple causing obstruction.,Development Authority
suspicious activities happening around school every night.,Police
illegal construction @ hospital blocking road access.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Stray dogs attacking people near Park.,Municipal
Auto drivers overcharging passengers near Bus Stand. pls do something asap!,Transport
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Metro Station.,Public Works Department
Water supply disrupted since 13 days in Temple.,Municipal
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Stray dogs attacking people near Highway.,Municipal
Newly constructed footpath at Bus Stand already broken.,Public Works Department
Public toilet at Colony is dirty and broken.,Municipal
Illegal construction at Bus Stand blocking road access.,Development Authority
"Theft occurred at Temple, no police arrived yet.",Police
Group of men harassing women near Bus Stand.,Police
Dumping of debris on open land near Bus Stand.,Development Authority
Water supply disrupted since 10 days in Park. pls do something asap!,Municipal
Stray dogs attacking people near Highway.,Municipal
"Burglary reported at School, no investigation done.",Police
Water supply disrupted since 4 days in Metro Station.,Municipal
Still waiting for action on request raised 13 days ago.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Illegal construction at Temple blocking road access.,Development Authority
"Loud music playing late night at Bus Stand, no action taken.",Police
frequent traffic jams n market.,Transport
Officials not responding to grievance at Hospital.,CM Office (Miscellaneous)
Garbage not collected for 12 days near Highway.,Municipal
Illegal construction at Highway blocking road access.,Development Authority
Bus stop shelter at School damaged and unsafe.,Transport
Building being constructed without permission near Temple.,Development Authority
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Garbage not collected for 13 days near Bus Stand.,Municipal
Officials not responding to grievance at Park.,CM Office (Miscellaneous)
Encroachment on government land near Colony.,Development Authority
Suspicious activities happening around Market every night.,Police
Cement road at School cracked within a week of repair.,Public Works Department
Overhead bridge construction delayed near Highway.,Public Works Department
"Drainage overflow at Temple, foul smell everywhere.",Municipal
No sanitation workers seen for a week at School.,Municipal
illegal hoardings @ market causing obstruction.,Development Authority
frequent delays in public buses @ highway.,Transport
Heavy vehicles blocking main road near Main Road.,Transport
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
traffic signal malfunctioning n main road.,Transport
Water supply disrupted since 6 days in Market.,Municipal
"streetlight not working in colony, unsafe @ night.",Municipal
Illegal construction at Temple blocking road access.,Development Authority
Auto drivers overcharging passengers near Metro Station.,Transport
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
newly constructed footp@h @ hospital already broken. pls do something asap!,Public Works Department
Plot boundaries changed illegally near Park. pls do something asap!,Development Authority
Plot boundaries changed illegally near Park.,Development Authority
Illegal construction at Temple blocking road access.,Development Authority
Overhead bridge construction delayed near Highway.,Public Works Department
Illegal construction at Hospital blocking road access.,Development Authority
Overhead bridge construction delayed near Metro Station.,Public Works Department
Frequent traffic jams near School. pls do something asap!,Transport
"Theft occurred at Temple, no police arrived yet.",Police
Buses not stopping at Metro Station despite schedule.,Transport
Frequent delays in public buses at Temple.,Transport
"Burglary reported at Market, no investigation done.",Police
public toilet @ temple is dirty and broken.,Municipal
Footpath tiles uneven and dangerous near School.,Public Works Department
Public nuisance by drunk people at Highway.,Police
Suspicious activities happening around Park every night.,Police
Assault reported outside Colony. pls do something asap!,Police
"Streetlight not working in School, unsafe at night.",Municipal
Encroachment on government land near Market.,Development Authority
Plot boundaries changed illegally near Highway.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Newly constructed footpath at Colony already broken.,Public Works Department
Frequent delays in public buses at Park.,Transport
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Traffic signal malfunctioning near Bus Stand.,Transport
Road at Highway has deep potholes causing accidents.,Public Works Department
Newly constructed footpath at Temple already broken.,Public Works Department
Plot boundaries changed illegally near Market.,Development Authority
suspicious activities happening around main road every night.,Police
drainage blocked n main road causing flooding.,Public Works Department
Bus stop shelter at Market damaged and unsafe.,Transport
Buses not stopping at Highway despite schedule.,Transport
Public toilet at Park is dirty and broken.,Municipal
Footpath tiles uneven and dangerous near Bus Stand.,Public Works Department
Building being constructed without permission near Main Road.,Development Authority
Illegal construction at Colony blocking road access.,Development Authority
Assault reported outside Market.,Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
No sanitation workers seen for a week at Market.,Municipal
Drainage blocked near Colony causing flooding.,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Drainage overflow at Main Road, foul smell everywhere. pls do something asap!",Municipal
Auto drivers overcharging passengers near Metro Station.,Transport
Still waiting for action on request raised 4 days ago.,CM Office (Miscellaneous)
"Theft occurred at Temple, no police arrived yet.",Police
"Burglary reported at Park, no investigation done.",Police
Overhead bridge construction delayed near Main Road.,Public Works Department
Drainage blocked near Temple causing flooding. pls do something asap!,Public Works Department
No sanitation workers seen for a week at Main Road. pls do something asap!,Municipal
Street repair left incomplete at Market.,Public Works Department
Plot boundaries changed illegally near Highway.,Development Authority
Garbage not collected for 11 days near School.,Municipal
Bus stop shelter at School damaged and unsafe.,Transport
Street repair left incomplete at Highway.,Public Works Department
Grievance No. CM1576 pending without update.,CM Office (Miscellaneous)
footp@h tiles uneven and dangerous n bus stand.,Public Works Department
Street repair left incomplete at School. pls do something asap!,Public Works Department
grievance no. cm6135 pending without upd@e.,CM Office (Miscellaneous)
Open manhole causing danger near School.,Municipal
Newly constructed footpath at Park already broken.,Public Works Department
Frequent delays in public buses at Metro Station.,Transport
Garbage not collected for 13 days near Metro Station.,Municipal
Public toilet at Hospital is dirty and broken.,Municipal
Assault reported outside Colony. pls do something asap!,Police
Group of men harassing women near Colony.,Police
Dumping of debris on open land near Park.,Development Authority
Illegal hoardings at School causing obstruction.,Development Authority
"streetlight not working in park, unsafe @ night.",Municipal
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Public toilet at Park is dirty and broken.,Municipal
Chain snatching reported yesterday near Metro Station.,Police
road @ school has deep potholes causing accidents.,Public Works Department
Overhead bridge construction delayed near Bus Stand.,Public Works Department
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Stray dogs attacking people near Market.,Municipal
Street repair left incomplete at Hospital.,Public Works Department
Auto drivers overcharging passengers near School.,Transport
"Drainage overflow at Temple, foul smell everywhere.",Municipal
"loud music playing l@e night @ highway, no action taken.",Police
Illegal construction at Park blocking road access.,Development Authority
Road at Bus Stand has deep potholes causing accidents.,Public Works Department
Encroachment on government land near Park. pls do something asap!,Development Authority
"Drainage overflow at Park, foul smell everywhere.",Municipal
broken road divider @ highway cre@ing risk fr vehicles.,Public Works Department
Traffic signal malfunctioning near Main Road.,Transport
Garbage not collected for 4 days near Hospital.,Municipal
Dumping of debris on open land near Bus Stand. pls do something asap!,Development Authority
Bus stop shelter at Highway damaged and unsafe.,Transport
Road at Main Road has deep potholes causing accidents.,Public Works Department
Bus stop shelter at Bus Stand damaged and unsafe.,Transport
Heavy vehicles blocking main road near Park.,Transport
Unauthorized shops set up near Market.,Development Authority
Auto drivers overcharging passengers near Park.,Transport
"road divider missing n highway, causing accidents.",Transport
w@er supply disrupted since 9 days in metro st@ion.,Municipal
Suspicious activities happening around Highway every night.,Police
land dispute reported @ school.,Development Authority
"Theft occurred at Bus Stand, no police arrived yet.",Police
Unauthorized shops set up near Metro Station.,Development Authority
overhead bridge construction delayed n park.,Public Works Department
Open manhole causing danger near Market.,Municipal
Frequent delays in public buses at Bus Stand.,Transport
Officials not responding to grievance at Main Road.,CM Office (Miscellaneous)
Cement road at Temple cracked within a week of repair.,Public Works Department
Dumping of debris on open land near Market.,Development Authority
Public toilet at Metro Station is dirty and broken.,Municipal
Grievance No. CM9446 pending without update.,CM Office (Miscellaneous)
Frequent delays in public buses at Hospital.,Transport
Illegal hoardings at Metro Station causing obstruction.,Development Authority
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
plot boundaries changed illegally n colony.,Development Authority
Frequent delays in public buses at Metro Station.,Transport
Plot boundaries changed illegally near Market.,Development Authority
Broken road divider at Metro Station creating risk for vehicles.,Public Works Department
chain sn@ching reported yesterday n metro st@ion.,Police
Frequent delays in public buses at Market.,Transport
Illegal hoardings at Park causing obstruction.,Development Authority
Suspicious activities happening around Metro Station every night.,Police
Unauthorized shops set up near Colony.,Development Authority
Assault reported outside Main Road.,Police
Drainage blocked near Temple causing flooding.,Public Works Department
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
newly constructed footp@h @ main road already broken.,Public Works Department
Plot boundaries changed illegally near Hospital.,Development Authority
Garbage not collected for 4 days near Metro Station.,Municipal
"Loud music playing late night at Bus Stand, no action taken. pls do something asap!",Police
Cement road at School cracked within a week of repair.,Public Works Department
Road at Temple has deep potholes causing accidents.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
"Road divider missing near Market, causing accidents.",Transport
"Streetlight not working in Main Road, unsafe at night.",Municipal
Still waiting for action on request raised 14 days ago.,CM Office (Miscellaneous)
Road at Metro Station has deep potholes causing accidents.,Public Works Department
Frequent delays in public buses at Bus Stand.,Transport
Open manhole causing danger near Temple.,Municipal
Unauthorized shops set up near Hospital.,Development Authority
Stray dogs attacking people near Metro Station. pls do something asap!,Municipal
illegal construction @ park blocking road access.,Development Authority
Auto drivers overcharging passengers near Hospital.,Transport
Street repair left incomplete at Temple.,Public Works Department
buses not stopping @ bus stand despite schedule.,Transport
Stray dogs attacking people near Main Road.,Municipal
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
"Loud music playing late night at School, no action taken.",Police
Chain snatching reported yesterday near School.,Police
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Broken road divider at Highway creating risk for vehicles.,Public Works Department
Frequent delays in public buses at Bus Stand.,Transport
"Loud music playing late night at School, no action taken.",Police
Public toilet at Bus Stand is dirty and broken.,Municipal
Traffic signal malfunctioning near Market.,Transport
Public toilet at Colony is dirty and broken.,Municipal
Encroachment on government land near Highway.,Development Authority
Traffic signal malfunctioning near Colony.,Transport
No sanitation workers seen for a week at Colony.,Municipal
open manhole causing danger n school.,Municipal
Overhead bridge construction delayed near Main Road.,Public Works Department
"Drainage overflow at Market, foul smell everywhere.",Municipal
"Streetlight not working in Bus Stand, unsafe at night.",Municipal
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
No sanitation workers seen for a week at School.,Municipal
bus stop shelter @ highway damaged and unsafe.,Transport
Bus stop shelter at Market damaged and unsafe.,Transport
Public toilet at School is dirty and broken.,Municipal
Chain snatching reported yesterday near Highway.,Police
Stray dogs attacking people near Colony.,Municipal
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Stray dogs attacking people near Main Road.,Municipal
Assault reported outside Main Road.,Police
Suspicious activities happening around Temple every night.,Police
"Burglary reported at Temple, no investigation done.",Police
illegal hoardings @ metro st@ion causing obstruction.,Development Authority
frequent delays in public buses @ hospital.,Transport
Buses not stopping at Metro Station despite schedule.,Transport
Garbage not collected for 13 days near Park. pls do something asap!,Municipal
Assault reported outside Park.,Police
Plot boundaries changed illegally near Colony.,Development Authority
Encroachment on government land near Temple.,Development Authority
Dumping of debris on open land near Highway.,Development Authority
Group of men harassing women near Park.,Police
Stray dogs attacking people near Colony.,Municipal
Open manhole causing danger near Temple.,Municipal
Suspicious activities happening around Main Road every night. pls do something asap!,Police
Cement road at Park cracked within a week of repair.,Public Works Department
Frequent delays in public buses at Highway.,Transport
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Water supply disrupted since 7 days in Market. pls do something asap!,Municipal
"streetlight not working in metro st@ion, unsafe @ night.",Municipal
Still waiting for action on request raised 6 days ago.,CM Office (Miscellaneous)
Building being constructed without permission near School.,Development Authority
Chain snatching reported yesterday near Temple.,Police
Illegal construction at Metro Station blocking road access.,Development Authority
department staff being rude and unhelpful.,CM Office (Miscellaneous)
Footpath tiles uneven and dangerous near Hospital.,Public Works Department
encroachment on government land n bus stand.,Development Authority
Frequent delays in public buses at Metro Station.,Transport
Auto drivers overcharging passengers near School.,Transport
land dispute reported @ main road.,Development Authority
Footpath tiles uneven and dangerous near Temple.,Public Works Department
Broken road divider at Market creating risk for vehicles.,Public Works Department
"Theft occurred at Bus Stand, no police arrived yet.",Police
Illegal construction at Metro Station blocking road access.,Development Authority
Traffic signal malfunctioning near Temple.,Transport
Open manhole causing danger near Colony.,Municipal
Heavy vehicles blocking main road near Metro Station.,Transport
Still waiting for action on request raised 11 days ago.,CM Office (Miscellaneous)
Repeated complaints ignored by department. pls do something asap!,CM Office (Miscellaneous)
Dumping of debris on open land near Main Road.,Development Authority
Assault reported outside Main Road.,Police
broken road divider @ main road cre@ing risk fr vehicles.,Public Works Department
Still waiting for action on request raised 12 days ago.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
Road at Highway has deep potholes causing accidents.,Public Works Department
overhead bridge construction delayed n colony.,Public Works Department
public nuisance by drunk people @ bus stand.,Police
Illegal construction at Metro Station blocking road access.,Development Authority
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Street repair left incomplete at Hospital.,Public Works Department
Street repair left incomplete at Temple.,Public Works Department
Plot boundaries changed illegally near Hospital. pls do something asap!,Development Authority
Buses not stopping at Highway despite schedule.,Transport
Heavy vehicles blocking main road near Main Road. pls do something asap!,Transport
Water supply disrupted since 12 days in Metro Station.,Municipal
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Cement road at Hospital cracked within a week of repair. pls do something asap!,Public Works Department
Unauthorized shops set up near Hospital.,Development Authority
Auto drivers overcharging passengers near Bus Stand.,Transport
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Group of men harassing women near Metro Station.,Police
Street repair left incomplete at Park.,Public Works Department
Chain snatching reported yesterday near Metro Station.,Police
illegal hoardings @ park causing obstruction. pls do something asap!,Development Authority
traffic signal malfunctioning n bus stand.,Transport
"drainage overflow @ park, foul smell everywhere.",Municipal
Open manhole causing danger near Highway.,Municipal
Dumping of debris on open land near School. pls do something asap!,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Drainage blocked near Colony causing flooding.,Public Works Department
Heavy vehicles blocking main road near Highway.,Transport
Heavy vehicles blocking main road near Temple.,Transport
no sanit@ion workers seen fr a week @ park.,Municipal
Plot boundaries changed illegally near Market.,Development Authority
frequent delays in public buses @ bus stand.,Transport
Frequent delays in public buses at Metro Station.,Transport
Overhead bridge construction delayed near Hospital.,Public Works Department
encroachment on government land n highway.,Development Authority
Assault reported outside Metro Station.,Police
Encroachment on government land near Metro Station. pls do something asap!,Development Authority
Water supply disrupted since 7 days in Hospital.,Municipal
Grievance No. CM8621 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
stray dogs @tacking people n colony.,Municipal
Street repair left incomplete at Bus Stand.,Public Works Department
"Burglary reported at Main Road, no investigation done.",Police
"Theft occurred at Market, no police arrived yet.",Police
Street repair left incomplete at Temple.,Public Works Department
bus stop shelter @ colony damaged and unsafe.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Main Road.,Development Authority
group of men harassing women n highway.,Police
Heavy vehicles blocking main road near Metro Station. pls do something asap!,Transport
Encroachment on government land near Temple. pls do something asap!,Development Authority
footp@h tiles uneven and dangerous n school.,Public Works Department
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
"Road divider missing near Park, causing accidents.",Transport
online complaint portal not working fr several days.,CM Office (Miscellaneous)
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Road divider missing near Colony, causing accidents.",Transport
Frequent traffic jams near Hospital.,Transport
Overhead bridge construction delayed near Main Road.,Public Works Department
Water supply disrupted since 9 days in Park.,Municipal
Street repair left incomplete at Temple.,Public Works Department
no sanit@ion workers seen fr a week @ main road.,Municipal
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Illegal construction at Colony blocking road access.,Development Authority
Frequent traffic jams near Market. pls do something asap!,Transport
Auto drivers overcharging passengers near Market.,Transport
broken road divider @ park cre@ing risk fr vehicles.,Public Works Department
broken road divider @ park cre@ing risk fr vehicles.,Public Works Department
"Streetlight not working in Hospital, unsafe at night.",Municipal
Group of men harassing women near Market.,Police
Bus stop shelter at Bus Stand damaged and unsafe.,Transport
Unauthorized shops set up near Park. pls do something asap!,Development Authority
Drainage blocked near Highway causing flooding.,Public Works Department
Grievance No. CM1657 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Temple.,Transport
building being constructed without permission n school.,Development Authority
Frequent traffic jams near School.,Transport
Cement road at Main Road cracked within a week of repair.,Public Works Department
Garbage not collected for 2 days near Colony.,Municipal
Group of men harassing women near Bus Stand.,Police
Cement road at Park cracked within a week of repair.,Public Works Department
"Streetlight not working in Highway, unsafe at night.",Municipal
land dispute reported @ main road.,Development Authority
"loud music playing l@e night @ metro st@ion, no action taken.",Police
Officials not responding to grievance at Colony. pls do something asap!,CM Office (Miscellaneous)
Drainage blocked near School causing flooding.,Public Works Department
Road at Colony has deep potholes causing accidents.,Public Works Department
"Drainage overflow at Hospital, foul smell everywhere.",Municipal
broken road divider @ highway cre@ing risk fr vehicles.,Public Works Department
"road divider missing n park, causing accidents.",Transport
"Drainage overflow at School, foul smell everywhere.",Municipal
Stray dogs attacking people near Main Road.,Municipal
Overhead bridge construction delayed near Temple.,Public Works Department
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Buses not stopping at Colony despite schedule. pls do something asap!,Transport
Land dispute reported at Bus Stand.,Development Authority
Heavy vehicles blocking main road near Highway.,Transport
"Drainage overflow at Hospital, foul smell everywhere.",Municipal
Assault reported outside Bus Stand.,Police
Unauthorized shops set up near Temple. pls do something asap!,Development Authority
"Drainage overflow at Highway, foul smell everywhere.",Municipal
"Theft occurred at Temple, no police arrived yet.",Police
"drainage overflow @ market, foul smell everywhere.",Municipal
Overhead bridge construction delayed near Metro Station.,Public Works Department
"Loud music playing late night at Metro Station, no action taken.",Police
Frequent delays in public buses at Temple.,Transport
Still waiting for action on request raised 3 days ago.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Land dispute reported at Market.,Development Authority
"Streetlight not working in Market, unsafe at night.",Municipal
chain sn@ching reported yesterday n school.,Police
Drainage blocked near School causing flooding.,Public Works Department
Illegal hoardings at Colony causing obstruction.,Development Authority
Chain snatching reported yesterday near Main Road.,Police
Officials not responding to grievance at Hospital.,CM Office (Miscellaneous)
Open manhole causing danger near Highway.,Municipal
"Streetlight not working in Market, unsafe at night.",Municipal
Cement road at Hospital cracked within a week of repair.,Public Works Department
unauthorized shops set up n school.,Development Authority
Public nuisance by drunk people at Park.,Police
Traffic signal malfunctioning near Highway.,Transport
Grievance No. CM7997 pending without update.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Hospital.,Public Works Department
Drainage blocked near Park causing flooding.,Public Works Department
Public nuisance by drunk people at Market.,Police
Officials not responding to grievance at Metro Station.,CM Office (Miscellaneous)
Buses not stopping at School despite schedule.,Transport
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
"Road divider missing near Park, causing accidents.",Transport
Land dispute reported at Market.,Development Authority
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
assault reported outside bus stand. pls do something asap!,Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Road at Highway has deep potholes causing accidents. pls do something asap!,Public Works Department
Still waiting for action on request raised 6 days ago.,CM Office (Miscellaneous)
Building being constructed without permission near Main Road.,Development Authority
Assault reported outside Market.,Police
Suspicious activities happening around Hospital every night.,Police
overhead bridge construction delayed n highway.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
"Road divider missing near Colony, causing accidents.",Transport
Footpath tiles uneven and dangerous near Market.,Public Works Department
Public nuisance by drunk people at Main Road.,Police
illegal construction @ temple blocking road access.,Development Authority
Suspicious activities happening around Market every night.,Police
Group of men harassing women near Temple.,Police
"Burglary reported at School, no investigation done.",Police
Overhead bridge construction delayed near Park.,Public Works Department
Bus stop shelter at Market damaged and unsafe.,Transport
frequent traffic jams n highway.,Transport
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Garbage not collected for 10 days near Colony.,Municipal
illegal construction @ main road blocking road access. pls do something asap!,Development Authority
Broken road divider at Highway creating risk for vehicles.,Public Works Department
Public nuisance by drunk people at Market.,Police
Drainage blocked near Park causing flooding. pls do something asap!,Public Works Department
overhead bridge construction delayed n hospital.,Public Works Department
Garbage not collected for 2 days near Market.,Municipal
Footpath tiles uneven and dangerous near Temple.,Public Works Department
Still waiting for action on request raised 11 days ago.,CM Office (Miscellaneous)
Unauthorized shops set up near Park.,Development Authority
Chain snatching reported yesterday near Hospital.,Police
Public nuisance by drunk people at Park.,Police
Public toilet at Bus Stand is dirty and broken.,Municipal
illegal construction @ hospital blocking road access.,Development Authority
drainage blocked n school causing flooding.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
public nuisance by drunk people @ market.,Police
No sanitation workers seen for a week at Highway.,Municipal
Group of men harassing women near Market.,Police
Group of men harassing women near Metro Station.,Police
Suspicious activities happening around Temple every night.,Police
Buses not stopping at School despite schedule.,Transport
"Burglary reported at Metro Station, no investigation done.",Police
filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Broken road divider at Bus Stand creating risk for vehicles.,Public Works Department
Suspicious activities happening around School every night.,Police
Building being constructed without permission near Highway.,Development Authority
Garbage not collected for 12 days near Highway.,Municipal
Illegal construction at Bus Stand blocking road access.,Development Authority
Illegal hoardings at Hospital causing obstruction.,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Officials not responding to grievance at Highway.,CM Office (Miscellaneous)
building being constructed without permission n colony.,Development Authority
Illegal hoardings at Temple causing obstruction.,Development Authority
Street repair left incomplete at Highway.,Public Works Department
Chain snatching reported yesterday near Market.,Police
Dumping of debris on open land near Hospital.,Development Authority
Officials not responding to grievance at Main Road.,CM Office (Miscellaneous)
Grievance No. CM6000 pending without update.,CM Office (Miscellaneous)
Stray dogs attacking people near Temple.,Municipal
Assault reported outside Park.,Police
Buses not stopping at School despite schedule.,Transport
Street repair left incomplete at Hospital.,Public Works Department
Buses not stopping at School despite schedule.,Transport
Suspicious activities happening around Colony every night.,Police
No sanitation workers seen for a week at Hospital.,Municipal
"Road divider missing near Colony, causing accidents.",Transport
Footpath tiles uneven and dangerous near Colony.,Public Works Department
Auto drivers overcharging passengers near School.,Transport
Heavy vehicles blocking main road near Temple.,Transport
open manhole causing danger n school.,Municipal
No sanitation workers seen for a week at Hospital.,Municipal
Buses not stopping at Metro Station despite schedule.,Transport
Group of men harassing women near School. pls do something asap!,Police
Illegal hoardings at Colony causing obstruction.,Development Authority
Suspicious activities happening around Park every night.,Police
Public nuisance by drunk people at Highway.,Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Road at Main Road has deep potholes causing accidents.,Public Works Department
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
Traffic signal malfunctioning near School.,Transport
Bus stop shelter at Park damaged and unsafe.,Transport
No sanitation workers seen for a week at Colony. pls do something asap!,Municipal
Frequent delays in public buses at Bus Stand.,Transport
w@er supply disrupted since 5 days in highway.,Municipal
officials not responding to grievance @ main road.,CM Office (Miscellaneous)
Garbage not collected for 8 days near Market.,Municipal
dumping of debris on open land n market.,Development Authority
Illegal construction at Highway blocking road access.,Development Authority
Chain snatching reported yesterday near Metro Station.,Police
dumping of debris on open land n colony.,Development Authority
Street repair left incomplete at Metro Station.,Public Works Department
Drainage blocked near Metro Station causing flooding.,Public Works Department
building being constructed without permission n hospital.,Development Authority
Drainage blocked near Market causing flooding.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Cement road at Market cracked within a week of repair.,Public Works Department
Suspicious activities happening around Park every night.,Police
Frequent traffic jams near Hospital.,Transport
Frequent traffic jams near Hospital.,Transport
Auto drivers overcharging passengers near Temple.,Transport
Encroachment on government land near School.,Development Authority
Stray dogs attacking people near Highway.,Municipal
Public nuisance by drunk people at Main Road.,Police
Illegal construction at Colony blocking road access.,Development Authority
w@er supply disrupted since 3 days in colony.,Municipal
Street repair left incomplete at Metro Station.,Public Works Department
Broken road divider at Colony creating risk for vehicles.,Public Works Department
Overhead bridge construction delayed near Colony.,Public Works Department
Heavy vehicles blocking main road near Park.,Transport
No sanitation workers seen for a week at Market.,Municipal
Unauthorized shops set up near School. pls do something asap!,Development Authority
"Streetlight not working in Bus Stand, unsafe at night.",Municipal
Encroachment on government land near Bus Stand. pls do something asap!,Development Authority
"Burglary reported at Bus Stand, no investigation done.",Police
Assault reported outside School.,Police
Grievance No. CM4118 pending without update.,CM Office (Miscellaneous)
Dumping of debris on open land near Main Road.,Development Authority
"Loud music playing late night at Temple, no action taken. pls do something asap!",Police
Stray dogs attacking people near Market.,Municipal
"Theft occurred at Hospital, no police arrived yet.",Police
Group of men harassing women near Temple.,Police
"Burglary reported at Market, no investigation done.",Police
Overhead bridge construction delayed near School.,Public Works Department
"Drainage overflow at Hospital, foul smell everywhere.",Municipal
"Drainage overflow at Metro Station, foul smell everywhere.",Municipal
Assault reported outside Metro Station.,Police
Building being constructed without permission near School.,Development Authority
Drainage blocked near Colony causing flooding.,Public Works Department
Unauthorized shops set up near Metro Station.,Development Authority
broken road divider @ temple cre@ing risk fr vehicles.,Public Works Department
w@er supply disrupted since 4 days in temple.,Municipal
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Still waiting for action on request raised 8 days ago.,CM Office (Miscellaneous)
"streetlight not working in temple, unsafe @ night.",Municipal
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Open manhole causing danger near Temple.,Municipal
Newly constructed footpath at School already broken.,Public Works Department
Broken road divider at Highway creating risk for vehicles.,Public Works Department
heavy vehicles blocking main road n park.,Transport
Frequent delays in public buses at Park.,Transport
Traffic signal malfunctioning near Metro Station.,Transport
Newly constructed footpath at School already broken.,Public Works Department
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
"Theft occurred at Park, no police arrived yet.",Police
Auto drivers overcharging passengers near Colony.,Transport
Overhead bridge construction delayed near Temple.,Public Works Department
"Theft occurred at Highway, no police arrived yet.",Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Buses not stopping at Temple despite schedule.,Transport
Street repair left incomplete at Colony.,Public Works Department
Road at School has deep potholes causing accidents.,Public Works Department
"Streetlight not working in Market, unsafe at night. pls do something asap!",Municipal
Stray dogs attacking people near Park.,Municipal
Dumping of debris on open land near Market.,Development Authority
unauthorized shops set up n temple.,Development Authority
Traffic signal malfunctioning near Park.,Transport
Frequent delays in public buses at Colony.,Transport
Officials not responding to grievance at Park.,CM Office (Miscellaneous)
