Description,Category
Unauthorized shops operating near petrol bunk. kindly look into this.,Development Authority
Illegal construction happening on 2nd street. please resolve soon.,Development Authority
Violation of building norms at main road. request urgent action.,Development Authority
Violation of building norms at hospital.,Development Authority
Chain snatching reported near community hall. Please take action. request urgent action.,Police
Heavy traffic jam at railway station every morning. situation getting worse.,Transport
No proper communication from officials on issue raised. request urgent action.,CM Office (Miscellaneous)
Autos refusing passengers in Downtown. kindly look into this.,Transport
Staff behavior rude and unhelpful in office. needs immediate attention.,CM Office (Miscellaneous)
Flyover joints damaged and causing vehicle imbalance. please resolve soon.,Public Works Department
Drainage overflow causing bad smell near railway station. situation getting worse.,Municipal
Poor road markings making driving difficult.,Transport
Illegal construction happening on 1st cross. needs immediate attention.,Development Authority
There is frequent eve teasing near the market area.,Police
Stray dogs attacking people in Downtown. kindly look into this.,Municipal
Theft cases increasing in ABC Colony. Please increase patrolling. facing issues since last week.,Police
Online complaint portal not working for days. kindly look into this.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Unauthorized shops operating near junction.,Development Authority
"Unfair practices in local department reported, please look into it. please resolve soon.",CM Office (Miscellaneous)
Complaint regarding layout approval delay. request urgent action.,Development Authority
Stormwater drain collapsed near junction. request urgent action.,Public Works Department
Water leakage near ring road. needs immediate attention.,Municipal
Unauthorized shops operating near bus depot. please resolve soon.,Development Authority
Application not processed even after multiple visits. situation getting worse.,CM Office (Miscellaneous)
Robbery incident reported near main road. needs immediate attention.,Police
Building without proper permission in Lakeview. facing issues since last week.,Development Authority
Open manhole in hospital dangerous for kids. situation getting worse.,Municipal
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Violation of building norms at market area. kindly look into this.,Development Authority
Illegal construction happening on main bazaar road.,Development Authority
Chain snatching reported near city mall. Please take action. facing issues since last week.,Police
Drunken men creating disturbance in Sector 12. needs immediate attention.,Police
"Street damaged after rain, vehicles skidding. please resolve soon.",Public Works Department
Stormwater drain collapsed near community hall. needs immediate attention.,Public Works Department
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Drunken men creating disturbance in ABC Colony. facing issues since last week.,Police
Bus route 11 not running on time for several days.,Transport
Government office not responding to complaints. kindly look into this.,CM Office (Miscellaneous)
Road full of potholes at main road.,Public Works Department
New road construction delayed at Sector 12. kindly look into this.,Public Works Department
Police not responding quickly during emergencies. kindly look into this.,Police
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
New road construction delayed at Sector 12. kindly look into this.,Public Works Department
Illegal construction happening on ring road.,Development Authority
Public dustbins overflowing and not cleaned.,Municipal
Broken divider near petrol bunk causing jams. facing issues since last week.,Transport
There is frequent eve teasing near the school. request urgent action.,Police
Drunken men creating disturbance in ABC Colony. please resolve soon.,Police
Land encroachment by private party near park. kindly look into this.,Development Authority
Encroachment on public land at park. please resolve soon.,Development Authority
Complaint regarding layout approval delay. facing issues since last week.,Development Authority
There is frequent eve teasing near the hospital. kindly look into this.,Police
Bridge under repair for months at bus depot.,Public Works Department
Land encroachment by private party near school. facing issues since last week.,Development Authority
Bus shelter at ABC Colony broken and unsafe.,Transport
Streetlights not working since last week in Sector 12. please resolve soon.,Municipal
Corruption complaint ignored by local officer. please resolve soon.,CM Office (Miscellaneous)
Drunken men creating disturbance in Central Avenue. please resolve soon.,Police
Bus route 46 not running on time for several days.,Transport
Encroachment on public land at market area. please resolve soon.,Development Authority
Application not processed even after multiple visits. needs immediate attention.,CM Office (Miscellaneous)
Chain snatching reported near community hall. Please take action.,Police
Illegal construction happening on 1st cross. request urgent action.,Development Authority
New road construction delayed at ABC Colony. needs immediate attention.,Public Works Department
Stormwater drain collapsed near community hall. needs immediate attention.,Public Works Department
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Streetlights not working since last week in ABC Colony.,Municipal
Road full of potholes at market area. needs immediate attention.,Public Works Department
Drunken men creating disturbance in Downtown. situation getting worse.,Police
Stormwater drain collapsed near city mall. needs immediate attention.,Public Works Department
Water leakage near 1st cross.,Municipal
Fogging not done properly leading to mosquito menace.,Municipal
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
People fighting daily at the park. please resolve soon.,Police
Chain snatching reported near city mall. Please take action. please resolve soon.,Police
There is frequent eve teasing near the hospital. situation getting worse.,Police
Citizen grievance unresolved despite repeated attempts. kindly look into this.,CM Office (Miscellaneous)
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Fogging not done properly leading to mosquito menace. facing issues since last week.,Municipal
People blocking roads with illegal sheds. needs immediate attention.,Development Authority
Construction debris dumped near Green Park. facing issues since last week.,Development Authority
Heavy traffic jam at main road every morning. please resolve soon.,Transport
Robbery incident reported near market area. situation getting worse.,Police
Flyover construction delay leading to congestion. kindly look into this.,Transport
New road construction delayed at Central Avenue. situation getting worse.,Public Works Department
Road full of potholes at school. please resolve soon.,Public Works Department
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Stormwater drain collapsed near city mall. request urgent action.,Public Works Department
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
New road construction delayed at Green Park. needs immediate attention.,Public Works Department
People fighting daily at the hospital. needs immediate attention.,Police
Accidents happening due to no speed breakers at park. needs immediate attention.,Transport
Open manhole in bus stop dangerous for kids. needs immediate attention.,Municipal
Fogging not done properly leading to mosquito menace. facing issues since last week.,Municipal
Stormwater drain collapsed near city mall. kindly look into this.,Public Works Department
Bridge under repair for months at junction. request urgent action.,Public Works Department
Police not responding quickly during emergencies. please resolve soon.,Police
Unauthorized shops operating near petrol bunk. needs immediate attention.,Development Authority
Encroachment on public land at temple.,Development Authority
Road full of potholes at park. please resolve soon.,Public Works Department
Road full of potholes at main road. request urgent action.,Public Works Department
Streetlights not working since last week in Sector 12. kindly look into this.,Municipal
Robbery incident reported near hospital. kindly look into this.,Police
Encroachment on public land at bus stop. situation getting worse.,Development Authority
Open manhole in market area dangerous for kids. please resolve soon.,Municipal
Flyover joints damaged and causing vehicle imbalance. situation getting worse.,Public Works Department
Water stagnation near bus stop due to poor drainage. please resolve soon.,Public Works Department
Broken divider near bus depot causing jams. kindly look into this.,Transport
Unhygienic conditions near market in MG Road. situation getting worse.,Municipal
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
Land encroachment by private party near market area. needs immediate attention.,Development Authority
Signal at petrol bunk not functioning properly causing accidents. facing issues since last week.,Transport
Theft cases increasing in Green Park. Please increase patrolling. facing issues since last week.,Police
New road construction delayed at Central Avenue.,Public Works Department
People fighting daily at the school. request urgent action.,Police
New road construction delayed at Sector 12. please resolve soon.,Public Works Department
"Footpath broken near Central Avenue, pedestrians facing issues. situation getting worse.",Public Works Department
Culvert repair pending at Airport Road. please resolve soon.,Public Works Department
"Street damaged after rain, vehicles skidding.",Public Works Department
Theft cases increasing in XYZ Nagar. Please increase patrolling. please resolve soon.,Police
Online complaint portal not working for days. kindly look into this.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. please resolve soon.,CM Office (Miscellaneous)
Stray dogs attacking people in Lakeview. request urgent action.,Municipal
"Street damaged after rain, vehicles skidding. situation getting worse.",Public Works Department
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
Flyover joints damaged and causing vehicle imbalance. needs immediate attention.,Public Works Department
Illegal gambling happening behind bus depot. needs immediate attention.,Police
Bus shelter at Lakeview broken and unsafe. please resolve soon.,Transport
Accidents happening due to no speed breakers at bus stop. request urgent action.,Transport
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors. facing issues since last week.,CM Office (Miscellaneous)
Unauthorized shops operating near petrol bunk.,Development Authority
Streetlights not working since last week in Green Park.,Municipal
Stormwater drain collapsed near petrol bunk. situation getting worse.,Public Works Department
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Uneven road surface leading to traffic problems. please resolve soon.,Public Works Department
Bus shelter at ABC Colony broken and unsafe. kindly look into this.,Transport
Online complaint portal not working for days. situation getting worse.,CM Office (Miscellaneous)
Heavy traffic jam at hospital every morning. kindly look into this.,Transport
Poor road markings making driving difficult. needs immediate attention.,Transport
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Pedestrian crossing signal not working at temple. request urgent action.,Transport
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Stormwater drain collapsed near signal point. request urgent action.,Public Works Department
Delay in pension disbursement for seniors. needs immediate attention.,CM Office (Miscellaneous)
Robbery incident reported near main road. facing issues since last week.,Police
Delay in pension disbursement for seniors. facing issues since last week.,CM Office (Miscellaneous)
"Street damaged after rain, vehicles skidding. needs immediate attention.",Public Works Department
There is frequent eve teasing near the railway station.,Police
Encroachment on public land at railway station. kindly look into this.,Development Authority
Water leakage near 2nd street.,Municipal
Online complaint portal not working for days.,CM Office (Miscellaneous)
Stormwater drain collapsed near city mall. please resolve soon.,Public Works Department
Unauthorized shops operating near junction. please resolve soon.,Development Authority
Women feel unsafe walking home after 7 PM. needs immediate attention.,Police
People fighting daily at the bus stop. kindly look into this.,Police
Staff behavior rude and unhelpful in office.,CM Office (Miscellaneous)
Signal at junction not functioning properly causing accidents. facing issues since last week.,Transport
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
Flyover construction delay leading to congestion. kindly look into this.,Transport
Encroachment on public land at temple. facing issues since last week.,Development Authority
Building without proper permission in Lakeview. facing issues since last week.,Development Authority
Delay in pension disbursement for seniors. situation getting worse.,CM Office (Miscellaneous)
"Footpath broken near ABC Colony, pedestrians facing issues. please resolve soon.",Public Works Department
Stray dogs attacking people in ABC Colony. please resolve soon.,Municipal
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
There is frequent eve teasing near the park. facing issues since last week.,Police
Women feel unsafe walking home after 7 PM. kindly look into this.,Police
Open manhole in park dangerous for kids. kindly look into this.,Municipal
Public dustbins overflowing and not cleaned. please resolve soon.,Municipal
Poor road markings making driving difficult. facing issues since last week.,Transport
Chain snatching reported near community hall. Please take action. request urgent action.,Police
Government office not responding to complaints. needs immediate attention.,CM Office (Miscellaneous)
Poor road markings making driving difficult. needs immediate attention.,Transport
Bridge under repair for months at junction. please resolve soon.,Public Works Department
Police not responding quickly during emergencies. kindly look into this.,Police
Illegal gambling happening behind signal point. needs immediate attention.,Police
Pedestrian crossing signal not working at temple. facing issues since last week.,Transport
Police not responding quickly during emergencies. kindly look into this.,Police
Culvert repair pending at Airport Road.,Public Works Department
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Corruption complaint ignored by local officer. please resolve soon.,CM Office (Miscellaneous)
Autos refusing passengers in MG Road. needs immediate attention.,Transport
New road construction delayed at Green Park. facing issues since last week.,Public Works Department
Pedestrian crossing signal not working at school. situation getting worse.,Transport
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
People blocking roads with illegal sheds. needs immediate attention.,Development Authority
Construction debris dumped near Sector 12. situation getting worse.,Development Authority
Autos refusing passengers in Green Park.,Transport
Corruption complaint ignored by local officer. facing issues since last week.,CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
Encroachment on public land at park. please resolve soon.,Development Authority
Need urgent help regarding electricity bill issue. facing issues since last week.,CM Office (Miscellaneous)
"Unfair practices in local department reported, please look into it. kindly look into this.",CM Office (Miscellaneous)
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
Uneven road surface leading to traffic problems. please resolve soon.,Public Works Department
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Road full of potholes at market area. needs immediate attention.,Public Works Department
Chain snatching reported near city mall. Please take action. situation getting worse.,Police
Open manhole in temple dangerous for kids. situation getting worse.,Municipal
"Street damaged after rain, vehicles skidding. request urgent action.",Public Works Department
Garbage not collected in Sector 12 for several days.,Municipal
Streetlights not working since last week in MG Road. needs immediate attention.,Municipal
Unhygienic conditions near market in Downtown.,Municipal
Staff behavior rude and unhelpful in office. situation getting worse.,CM Office (Miscellaneous)
Theft cases increasing in Lakeview. Please increase patrolling.,Police
Poor road markings making driving difficult. request urgent action.,Transport
Flyover joints damaged and causing vehicle imbalance. request urgent action.,Public Works Department
"Unfair practices in local department reported, please look into it. request urgent action.",CM Office (Miscellaneous)
Building without proper permission in Downtown. facing issues since last week.,Development Authority
Bus shelter at Green Park broken and unsafe.,Transport
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Violation of building norms at railway station. please resolve soon.,Development Authority
Illegal construction happening on main bazaar road.,Development Authority
Unhygienic conditions near market in Downtown. kindly look into this.,Municipal
Encroachment on public land at railway station.,Development Authority
Open manhole in market area dangerous for kids. situation getting worse.,Municipal
Stray dogs attacking people in Lakeview. please resolve soon.,Municipal
Accidents happening due to no speed breakers at bus stop.,Transport
People fighting daily at the market area. facing issues since last week.,Police
Illegal gambling happening behind petrol bunk. situation getting worse.,Police
Illegal construction happening on ring road. request urgent action.,Development Authority
Unauthorized shops operating near bus depot. kindly look into this.,Development Authority
There is frequent eve teasing near the park. please resolve soon.,Police
Road full of potholes at park. facing issues since last week.,Public Works Department
Violation of building norms at main road. facing issues since last week.,Development Authority
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Land encroachment by private party near railway station. situation getting worse.,Development Authority
No proper communication from officials on issue raised.,CM Office (Miscellaneous)
Autos refusing passengers in Downtown. kindly look into this.,Transport
Open manhole in school dangerous for kids. kindly look into this.,Municipal
Flyover joints damaged and causing vehicle imbalance. situation getting worse.,Public Works Department
Waste dumped on roadside in Downtown. facing issues since last week.,Municipal
Signal at community hall not functioning properly causing accidents. kindly look into this.,Transport
Pedestrian crossing signal not working at market area.,Transport
Culvert repair pending at Hill View. request urgent action.,Public Works Department
Chain snatching reported near community hall. Please take action. kindly look into this.,Police
"Footpath broken near ABC Colony, pedestrians facing issues. situation getting worse.",Public Works Department
Uneven road surface leading to traffic problems. kindly look into this.,Public Works Department
Accidents happening due to no speed breakers at hospital. kindly look into this.,Transport
Uneven road surface leading to traffic problems.,Public Works Department
Police not responding quickly during emergencies. request urgent action.,Police
Delay in pension disbursement for seniors.,CM Office (Miscellaneous)
"Footpath broken near Sector 12, pedestrians facing issues.",Public Works Department
Unauthorized shops operating near junction. facing issues since last week.,Development Authority
"Street damaged after rain, vehicles skidding. kindly look into this.",Public Works Department
Illegal gambling happening behind city mall. request urgent action.,Police
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Theft cases increasing in Lakeview. Please increase patrolling.,Police
Online complaint portal not working for days. request urgent action.,CM Office (Miscellaneous)
Water leakage near 1st cross.,Municipal
"Footpath broken near MG Road, pedestrians facing issues. facing issues since last week.",Public Works Department
Water leakage near ring road. facing issues since last week.,Municipal
Building without proper permission in Sector 12. situation getting worse.,Development Authority
Robbery incident reported near park. request urgent action.,Police
Accidents happening due to no speed breakers at main road. please resolve soon.,Transport
Staff behavior rude and unhelpful in office. please resolve soon.,CM Office (Miscellaneous)
Citizen grievance unresolved despite repeated attempts. please resolve soon.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near temple. situation getting worse.,Municipal
Autos refusing passengers in Green Park. situation getting worse.,Transport
Culvert repair pending at Airport Road. situation getting worse.,Public Works Department
Water leakage near main bazaar road. situation getting worse.,Municipal
Plot disputes not being resolved on time. needs immediate attention.,Development Authority
People fighting daily at the market area. situation getting worse.,Police
Water stagnation near park due to poor drainage. needs immediate attention.,Public Works Department
Autos refusing passengers in ABC Colony. kindly look into this.,Transport
Waste dumped on roadside in Central Avenue. needs immediate attention.,Municipal
Signal at bus depot not functioning properly causing accidents. facing issues since last week.,Transport
"Street damaged after rain, vehicles skidding. situation getting worse.",Public Works Department
Theft cases increasing in Central Avenue. Please increase patrolling. situation getting worse.,Police
People blocking roads with illegal sheds.,Development Authority
Illegal gambling happening behind community hall.,Police
Chain snatching reported near community hall. Please take action.,Police
Construction debris dumped near XYZ Nagar. facing issues since last week.,Development Authority
Broken divider near signal point causing jams. needs immediate attention.,Transport
Pedestrian crossing signal not working at bus stop. request urgent action.,Transport
Poor road markings making driving difficult. facing issues since last week.,Transport
Online complaint portal not working for days. facing issues since last week.,CM Office (Miscellaneous)
Bus route 65 not running on time for several days. needs immediate attention.,Transport
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Water stagnation near main road due to poor drainage. kindly look into this.,Public Works Department
Drunken men creating disturbance in XYZ Nagar.,Police
Flyover construction delay leading to congestion. request urgent action.,Transport
Illegal gambling happening behind city mall. facing issues since last week.,Police
Police not responding quickly during emergencies. kindly look into this.,Police
Waste dumped on roadside in ABC Colony. needs immediate attention.,Municipal
Government office not responding to complaints. please resolve soon.,CM Office (Miscellaneous)
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Illegal construction happening on main bazaar road. request urgent action.,Development Authority
Government office not responding to complaints. kindly look into this.,CM Office (Miscellaneous)
Autos refusing passengers in Lakeview. needs immediate attention.,Transport
Open manhole in park dangerous for kids. needs immediate attention.,Municipal
Police not responding quickly during emergencies. needs immediate attention.,Police
Application not processed even after multiple visits. request urgent action.,CM Office (Miscellaneous)
Building without proper permission in Downtown. situation getting worse.,Development Authority
Land encroachment by private party near main road. please resolve soon.,Development Authority
Theft cases increasing in Lakeview. Please increase patrolling. kindly look into this.,Police
Signal at community hall not functioning properly causing accidents. situation getting worse.,Transport
No proper communication from officials on issue raised. facing issues since last week.,CM Office (Miscellaneous)
Poor road markings making driving difficult. situation getting worse.,Transport
Flyover joints damaged and causing vehicle imbalance. facing issues since last week.,Public Works Department
Construction debris dumped near ABC Colony. needs immediate attention.,Development Authority
Stray dogs attacking people in XYZ Nagar. request urgent action.,Municipal
Online complaint portal not working for days. facing issues since last week.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors. kindly look into this.,CM Office (Miscellaneous)
Land encroachment by private party near bus stop. please resolve soon.,Development Authority
Delay in pension disbursement for seniors.,CM Office (Miscellaneous)
Drunken men creating disturbance in Green Park. request urgent action.,Police
Unauthorized shops operating near community hall. facing issues since last week.,Development Authority
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Chain snatching reported near junction. Please take action. facing issues since last week.,Police
Streetlights not working since last week in XYZ Nagar. kindly look into this.,Municipal
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Building without proper permission in Sector 12. needs immediate attention.,Development Authority
Poor road markings making driving difficult. please resolve soon.,Transport
Building without proper permission in Downtown. please resolve soon.,Development Authority
Corruption complaint ignored by local officer. situation getting worse.,CM Office (Miscellaneous)
Streetlights not working since last week in XYZ Nagar. facing issues since last week.,Municipal
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Drunken men creating disturbance in XYZ Nagar.,Police
Bridge under repair for months at signal point. needs immediate attention.,Public Works Department
Poor road markings making driving difficult.,Transport
Bridge under repair for months at city mall.,Public Works Department
Unauthorized shops operating near petrol bunk. facing issues since last week.,Development Authority
"Footpath broken near Green Park, pedestrians facing issues. needs immediate attention.",Public Works Department
Fogging not done properly leading to mosquito menace. facing issues since last week.,Municipal
Heavy traffic jam at park every morning. situation getting worse.,Transport
Waste dumped on roadside in Sector 12. needs immediate attention.,Municipal
Illegal gambling happening behind signal point. situation getting worse.,Police
People blocking roads with illegal sheds. situation getting worse.,Development Authority
Water leakage near main bazaar road. needs immediate attention.,Municipal
Government office not responding to complaints.,CM Office (Miscellaneous)
Flyover joints damaged and causing vehicle imbalance. situation getting worse.,Public Works Department
Uneven road surface leading to traffic problems. facing issues since last week.,Public Works Department
Signal at signal point not functioning properly causing accidents. please resolve soon.,Transport
Fogging not done properly leading to mosquito menace. needs immediate attention.,Municipal
Autos refusing passengers in Central Avenue. kindly look into this.,Transport
Building without proper permission in Central Avenue. request urgent action.,Development Authority
Complaint regarding layout approval delay. situation getting worse.,Development Authority
Delay in pension disbursement for seniors. kindly look into this.,CM Office (Miscellaneous)
"Footpath broken near Green Park, pedestrians facing issues. situation getting worse.",Public Works Department
Streetlights not working since last week in Green Park. kindly look into this.,Municipal
Broken divider near petrol bunk causing jams. needs immediate attention.,Transport
Culvert repair pending at New Town. request urgent action.,Public Works Department
Building without proper permission in Sector 12.,Development Authority
People blocking roads with illegal sheds. kindly look into this.,Development Authority
Encroachment on public land at park. facing issues since last week.,Development Authority
Unauthorized shops operating near community hall. kindly look into this.,Development Authority
"Street damaged after rain, vehicles skidding. request urgent action.",Public Works Department
People fighting daily at the park. kindly look into this.,Police
Flyover construction delay leading to congestion. request urgent action.,Transport
Water leakage near ring road. situation getting worse.,Municipal
Violation of building norms at school. please resolve soon.,Development Authority
Illegal construction happening on 1st cross. facing issues since last week.,Development Authority
Illegal gambling happening behind signal point. facing issues since last week.,Police
Road full of potholes at railway station. request urgent action.,Public Works Department
No proper communication from officials on issue raised.,CM Office (Miscellaneous)
There is frequent eve teasing near the bus stop. kindly look into this.,Police
Land encroachment by private party near railway station. needs immediate attention.,Development Authority
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
Illegal construction happening on 2nd street. situation getting worse.,Development Authority
Flyover joints damaged and causing vehicle imbalance.,Public Works Department
Drunken men creating disturbance in Lakeview. request urgent action.,Police
Heavy traffic jam at railway station every morning. request urgent action.,Transport
Broken divider near junction causing jams. needs immediate attention.,Transport
Bridge under repair for months at bus depot.,Public Works Department
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Water leakage near 2nd street. facing issues since last week.,Municipal
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Stray dogs attacking people in Central Avenue. request urgent action.,Municipal
Loud noise and public nuisance every night around park. kindly look into this.,Police
Stray dogs attacking people in Green Park. please resolve soon.,Municipal
Theft cases increasing in Central Avenue. Please increase patrolling.,Police
There is frequent eve teasing near the hospital. needs immediate attention.,Police
"Street damaged after rain, vehicles skidding. kindly look into this.",Public Works Department
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. needs immediate attention.,CM Office (Miscellaneous)
Building without proper permission in ABC Colony. please resolve soon.,Development Authority
Land encroachment by private party near park. situation getting worse.,Development Authority
Unhygienic conditions near market in Green Park. facing issues since last week.,Municipal
Waste dumped on roadside in XYZ Nagar.,Municipal
Chain snatching reported near junction. Please take action. situation getting worse.,Police
Need urgent help regarding electricity bill issue. needs immediate attention.,CM Office (Miscellaneous)
Bridge under repair for months at city mall. request urgent action.,Public Works Department
People fighting daily at the temple. needs immediate attention.,Police
People blocking roads with illegal sheds. kindly look into this.,Development Authority
Water stagnation near hospital due to poor drainage. please resolve soon.,Public Works Department
Streetlights not working since last week in ABC Colony.,Municipal
Staff behavior rude and unhelpful in office. situation getting worse.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Culvert repair pending at Airport Road.,Public Works Department
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
Stormwater drain collapsed near signal point. kindly look into this.,Public Works Department
Fogging not done properly leading to mosquito menace. situation getting worse.,Municipal
Water leakage near main bazaar road. facing issues since last week.,Municipal
Culvert repair pending at Hill View.,Public Works Department
Garbage not collected in ABC Colony for several days.,Municipal
Public dustbins overflowing and not cleaned.,Municipal
Signal at junction not functioning properly causing accidents. kindly look into this.,Transport
Uneven road surface leading to traffic problems.,Public Works Department
Poor road markings making driving difficult.,Transport
Culvert repair pending at Old City. needs immediate attention.,Public Works Department
Waste dumped on roadside in Green Park.,Municipal
Illegal gambling happening behind city mall. kindly look into this.,Police
Bus route 77 not running on time for several days. needs immediate attention.,Transport
Bus shelter at Lakeview broken and unsafe. needs immediate attention.,Transport
Illegal gambling happening behind community hall. request urgent action.,Police
Fogging not done properly leading to mosquito menace. request urgent action.,Municipal
Broken divider near bus depot causing jams. kindly look into this.,Transport
"Footpath broken near Green Park, pedestrians facing issues. request urgent action.",Public Works Department
Staff behavior rude and unhelpful in office.,CM Office (Miscellaneous)
Water leakage near 1st cross. request urgent action.,Municipal
Culvert repair pending at Airport Road. needs immediate attention.,Public Works Department
Construction debris dumped near Downtown. situation getting worse.,Development Authority
Drainage overflow causing bad smell near main road. request urgent action.,Municipal
Violation of building norms at hospital. facing issues since last week.,Development Authority
Fogging not done properly leading to mosquito menace. facing issues since last week.,Municipal
Violation of building norms at school.,Development Authority
New road construction delayed at Sector 12. facing issues since last week.,Public Works Department
Autos refusing passengers in ABC Colony. situation getting worse.,Transport
Public dustbins overflowing and not cleaned.,Municipal
"Footpath broken near ABC Colony, pedestrians facing issues. please resolve soon.",Public Works Department
Signal at petrol bunk not functioning properly causing accidents. situation getting worse.,Transport
Unhygienic conditions near market in Downtown. facing issues since last week.,Municipal
Illegal construction happening on ring road. please resolve soon.,Development Authority
Illegal construction happening on main bazaar road. situation getting worse.,Development Authority
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Stray dogs attacking people in XYZ Nagar. request urgent action.,Municipal
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
Drainage overflow causing bad smell near park. facing issues since last week.,Municipal
Public dustbins overflowing and not cleaned.,Municipal
Pedestrian crossing signal not working at main road.,Transport
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Water stagnation near market area due to poor drainage.,Public Works Department
People fighting daily at the temple. request urgent action.,Police
Water stagnation near hospital due to poor drainage. request urgent action.,Public Works Department
Poor road markings making driving difficult. needs immediate attention.,Transport
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Autos refusing passengers in Downtown. please resolve soon.,Transport
Complaint regarding layout approval delay. situation getting worse.,Development Authority
Staff behavior rude and unhelpful in office.,CM Office (Miscellaneous)
Water stagnation near market area due to poor drainage. please resolve soon.,Public Works Department
Land encroachment by private party near hospital.,Development Authority
New road construction delayed at MG Road.,Public Works Department
Application not processed even after multiple visits. request urgent action.,CM Office (Miscellaneous)
Bridge under repair for months at city mall. needs immediate attention.,Public Works Department
People blocking roads with illegal sheds. kindly look into this.,Development Authority
Drunken men creating disturbance in Sector 12. request urgent action.,Police
Unhygienic conditions near market in Downtown. request urgent action.,Municipal
Corruption complaint ignored by local officer.,CM Office (Miscellaneous)
Corruption complaint ignored by local officer. please resolve soon.,CM Office (Miscellaneous)
People blocking roads with illegal sheds. facing issues since last week.,Development Authority
Accidents happening due to no speed breakers at school. facing issues since last week.,Transport
Bus shelter at Lakeview broken and unsafe. request urgent action.,Transport
Complaint regarding layout approval delay. request urgent action.,Development Authority
Encroachment on public land at temple.,Development Authority
Need urgent help regarding electricity bill issue.,CM Office (Miscellaneous)
Bridge under repair for months at community hall. facing issues since last week.,Public Works Department
Public dustbins overflowing and not cleaned. situation getting worse.,Municipal
Corruption complaint ignored by local officer. request urgent action.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors.,CM Office (Miscellaneous)
Garbage not collected in Sector 12 for several days. request urgent action.,Municipal
Broken divider near bus depot causing jams. situation getting worse.,Transport
Drunken men creating disturbance in XYZ Nagar. please resolve soon.,Police
Poor road markings making driving difficult.,Transport
Violation of building norms at railway station. needs immediate attention.,Development Authority
Unhygienic conditions near market in Sector 12. needs immediate attention.,Municipal
Drainage overflow causing bad smell near railway station. needs immediate attention.,Municipal
Streetlights not working since last week in Downtown.,Municipal
Theft cases increasing in ABC Colony. Please increase patrolling. kindly look into this.,Police
Citizen grievance unresolved despite repeated attempts. please resolve soon.,CM Office (Miscellaneous)
Streetlights not working since last week in Downtown. facing issues since last week.,Municipal
Broken divider near signal point causing jams.,Transport
